Method,Parameter_Name,Parameter_Type,Parent,Children,Same_As_Parent,Description,Reference_of_documentation,Used_For,Used_By?,Informal_Propositions,Rules_Name,Rules_Description,Calling_Parameters,Calling_Param_Types,Supertypes,Called_from_x_as,Called_element_from_x
IfcPumpType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX, IfcPumpTypeEnum FIX]",IfcFlowMovingDeviceType,NULL,FALSE,"The flow moving device type IfcPumpType defines commonly shared information for occurrences of pumps.",7.5.3.54,"","",NULL,"[CorrectPredefinedType]","[The inherited attribute ElementType shall be provided if the PredefinedType is set to USERDEFINED.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType, IfcDistributionElementType, IfcDistributionFlowElementType, IfcFlowMovingDeviceType]","[]","[]"
IfcSpaceHeater,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX, IfcSpaceHeaterTypeEnum ? FIX]",IfcFlowTerminal,NULL,FALSE,"Space heaters utilize a combination of radiation and/or natural convection using a heating source such as electricity, steam or hot water to heat a limited space or area. Examples of space heaters include radiators, convectors, baseboard and finned-tube heaters.",7.5.3.55,"","",NULL,"[CorrectPredefinedType, CorrectTypeAssigned]","[Either the PredefinedType attribute is unset or the inherited attribute ObjectType shall be provided; if the PredefinedType is set to USERDEFINED., Either there is no cable carrier fitting type object associated - i.e. the IsTypedBy inverse relationship is not provided - or the associated type object has to be of type IfcSpaceHeaterType.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings, HasPorts, HasControlElements]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?], IfcRelConnectsPortToElement @RelatedElement S[0:?], IfcRelFlowControlElements @RelatingFlowElement S[0:1]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcElement, IfcDistributionElement, IfcDistributionFlowElement, IfcFlowTerminal]","[]","[]"
IfcSpaceHeaterType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX, IfcSpaceHeaterTypeEnum FIX]",IfcFlowTerminalType,NULL,FALSE,"The flow terminal type IfcSpaceHeaterType defines commonly shared information for occurrences of space heaters.",7.5.3.56,"","",NULL,"[CorrectPredefinedType]","[The inherited attribute ElementType shall be provided if the PredefinedType is set to USERDEFINED.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType, IfcDistributionElementType, IfcDistributionFlowElementType, IfcFlowTerminalType]","[]","[]"
IfcTank,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX, IfcTankTypeEnum ? FIX]",IfcFlowStorageDevice,NULL,FALSE,"A tank is a vessel or container in which a fluid or gas is stored for later use.",7.5.3.57,"","",NULL,"[CorrectPredefinedType, CorrectTypeAssigned]","[Either the PredefinedType attribute is unset or the inherited attribute ObjectType shall be provided; if the PredefinedType is set to USERDEFINED., Either there is no cable carrier fitting type object associated - i.e. the IsTypedBy inverse relationship is not provided - or the associated type object has to be of type IfcTankType.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings, HasPorts, HasControlElements]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?], IfcRelConnectsPortToElement @RelatedElement S[0:?], IfcRelFlowControlElements @RelatingFlowElement S[0:1]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcElement, IfcDistributionElement, IfcDistributionFlowElement, IfcFlowStorageDevice]","[]","[]"
IfcTankType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX, IfcTankTypeEnum FIX]",IfcFlowStorageDeviceType,NULL,FALSE,"The flow storage device type IfcTankType defines commonly shared information for occurrences of tanks.",7.5.3.58,"","",NULL,"[CorrectPredefinedType]","[The inherited attribute ElementType shall be provided if the PredefinedType is set to USERDEFINED.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType, IfcDistributionElementType, IfcDistributionFlowElementType, IfcFlowStorageDeviceType]","[]","[]"
IfcTubeBundle,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX, IfcTubeBundleTypeEnum ? FIX]",IfcEnergyConversionDevice,NULL,FALSE,"A tube bundle is a device consisting of tubes and bundles of tubes used for heat transfer and contained typically within other energy conversion devices, such as a chiller or coil.",7.5.3.59,"","",NULL,"[CorrectPredefinedType, CorrectTypeAssigned]","[Either the PredefinedType attribute is unset or the inherited attribute ObjectType shall be provided; if the PredefinedType is set to USERDEFINED., Either there is no cable carrier fitting type object associated - i.e. the IsTypedBy inverse relationship is not provided - or the associated type object has to be of type IfcTubeBundleType.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings, HasPorts, HasControlElements]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?], IfcRelConnectsPortToElement @RelatedElement S[0:?], IfcRelFlowControlElements @RelatingFlowElement S[0:1]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcElement, IfcDistributionElement, IfcDistributionFlowElement, IfcEnergyConversionDevice]","[]","[]"
IfcTubeBundleType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX, IfcTubeBundleTypeEnum FIX]",IfcEnergyConversionDeviceType,NULL,FALSE,"The energy conversion device type IfcTubeBundleType defines commonly shared information for occurrences of tube bundles.",7.5.3.60,"","",NULL,"[CorrectPredefinedType]","[The inherited attribute ElementType shall be provided if the PredefinedType is set to USERDEFINED.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType, IfcDistributionElementType, IfcDistributionFlowElementType, IfcEnergyConversionDeviceType]","[]","[]"
IfcUnitaryEquipment,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX, IfcUnitaryEquipmentTypeEnum ? FIX]",IfcEnergyConversionDevice,NULL,FALSE,"Unitary equipment typically combine a number of components into a single product, such as air handlers, pre-packaged rooftop air-conditioning units, heat pumps, and split systems.",7.5.3.61,"","",NULL,"[CorrectPredefinedType, CorrectTypeAssigned]","[Either the PredefinedType attribute is unset or the inherited attribute ObjectType shall be provided; if the PredefinedType is set to USERDEFINED., Either there is no cable carrier fitting type object associated - i.e. the IsTypedBy inverse relationship is not provided - or the associated type object has to be of type IfcUnitaryEquipmentType.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings, HasPorts, HasControlElements]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?], IfcRelConnectsPortToElement @RelatedElement S[0:?], IfcRelFlowControlElements @RelatingFlowElement S[0:1]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcElement, IfcDistributionElement, IfcDistributionFlowElement, IfcEnergyConversionDevice]","[]","[]"
IfcUnitaryEquipmentType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX, IfcUnitaryEquipmentTypeEnum FIX]",IfcEnergyConversionDeviceType,NULL,FALSE,"The energy conversion device type IfcUnitaryEquipmentType defines commonly shared information for occurrences of unitary equipments.",7.5.3.62,"","",NULL,"[CorrectPredefinedType]","[The inherited attribute ElementType shall be provided if the PredefinedType is set to USERDEFINED.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType, IfcDistributionElementType, IfcDistributionFlowElementType, IfcEnergyConversionDeviceType]","[]","[]"
IfcValve,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX, IfcValveTypeEnum ? FIX]",IfcFlowController,NULL,FALSE,"A valve is used in a building services piping distribution system to control or modulate the flow of the fluid.",7.5.3.63,"","",NULL,"[CorrectPredefinedType, CorrectTypeAssigned]","[Either the PredefinedType attribute is unset or the inherited attribute ObjectType shall be provided; if the PredefinedType is set to USERDEFINED., Either there is no cable carrier fitting type object associated - i.e. the IsTypedBy inverse relationship is not provided - or the associated type object has to be of type IfcValveType.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings, HasPorts, HasControlElements]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?], IfcRelConnectsPortToElement @RelatedElement S[0:?], IfcRelFlowControlElements @RelatingFlowElement S[0:1]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcElement, IfcDistributionElement, IfcDistributionFlowElement, IfcFlowController]","[]","[]"
IfcValveType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX, IfcValveTypeEnum FIX]",IfcFlowControllerType,NULL,FALSE,"The flow controller type IfcValveType defines commonly shared information for occurrences of valves.",7.5.3.64,"","",NULL,"[CorrectPredefinedType]","[The inherited attribute ElementType shall be provided if the PredefinedType is set to USERDEFINED.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType, IfcDistributionElementType, IfcDistributionFlowElementType, IfcFlowControllerType]","[]","[]"
IfcVibrationIsolator,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX, IfcVibrationIsolatorTypeEnum ? FIX]",IfcElementComponent,NULL,FALSE,"A vibration isolator is a device used to minimize the effects of vibration transmissibility in a building.",7.5.3.65,"","",NULL,"[CorrectPredefinedType, CorrectTypeAssigned]","[Either the PredefinedType attribute is unset or the inherited attribute ObjectType shall be provided; if the PredefinedType is set to USERDEFINED., Either there is no cable carrier fitting type object associated - i.e. the IsTypedBy inverse relationship is not provided - or the associated type object has to be of type IfcVibrationIsolatorType.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcElement, IfcElementComponent]","[]","[]"
IfcVibrationIsolatorType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX, IfcVibrationIsolatorTypeEnum FIX]",IfcElementComponentType,NULL,FALSE,"The element component type IfcVibrationIsolatorType defines commonly shared information for occurrences of vibration isolators.",7.5.3.66,"","",NULL,"[CorrectPredefinedType]","[The inherited attribute ElementType shall be provided if the PredefinedType is set to USERDEFINED.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType, IfcElementComponentType]","[]","[]"
